ID,CUSTOMER,ORDERED_AT,STORE_ID,SUBTOTAL,TAX_PAID,ORDER_TOTAL
0899a1da-97e9-4c84-84a1-782c7ea25f2f,2ad8ff3c-388e-429b-9b1a-67286e82bd20,2022-12-14 08:37:00,7610d689-246f-467d-8d80-991c4eef401a,600,36,636
3d86d092-2fc6-4d44-840b-27cb42417c41,6b4f3f63-45e6-42ee-b5c4-ac03835a2d5f,2022-12-14 08:28:00,7610d689-246f-467d-8d80-991c4eef401a,600,36,636
512a93cb-048c-4e7c-8c25-d19e76d5b20f,3850daab-891a-45e9-a8de-8be8febc3137,2022-12-14 17:25:00,7610d689-246f-467d-8d80-991c4eef401a,1700,102,1802
dc17dc4f-9075-4e08-9097-3e280a911f8f,c6bd166c-2f9d-455c-89dd-72b892f09447,2022-12-14 10:14:00,7610d689-246f-467d-8d80-991c4eef401a,400,24,424
437434fb-bb64-4566-8504-0b36775963c5,879ff208-ac40-47d2-9c15-e475f635ccbe,2022-12-14 19:10:00,7610d689-246f-467d-8d80-991c4eef401a,700,42,742
a0090678-81e4-42b0-b37f-37bda81e47f7,24c316fc-ad16-45a1-9ef3-3da9d491b0e7,2022-12-14 08:48:00,7610d689-246f-467d-8d80-991c4eef401a,700,42,742
236d4c77-cb2d-49d3-a70b-a13b77de4374,7b1522dc-cd21-4c40-b81b-3532f5b9f3eb,2022-12-14 07:44:00,7610d689-246f-467d-8d80-991c4eef401a,500,30,530
2eb7196a-d35e-45d5-bfb9-e3911868b287,344bf269-6f68-41c2-a6ff-a8f4eb6f6ca7,2022-12-14 11:30:00,7610d689-246f-467d-8d80-991c4eef401a,700,42,742
d70f57a1-570f-4116-a64e-1fcc749af208,d10a856b-8bc4-4cf8-bb76-ffdcf2a50f1e,2022-12-14 09:31:00,7610d689-246f-467d-8d80-991c4eef401a,2400,144,2544
8f3a4fdc-5673-4830-a983-c68d818d892b,55f41aa9-ac35-4b25-9c3d-bd9bfe61effc,2022-12-14 13:09:00,7610d689-246f-467d-8d80-991c4eef401a,1700,102,1802
c162eec9-5b19-4ae0-868d-afc4333c3166,839b9759-0a61-4c7d-872f-591848c1b431,2022-12-14 08:12:00,7610d689-246f-467d-8d80-991c4eef401a,600,36,636
b4d1babd-16d8-4d9b-834a-ce2dffdd1b77,78e869b8-1d23-4f38-b562-7cd5072dcd5a,2022-12-14 16:31:00,7610d689-246f-467d-8d80-991c4eef401a,600,36,636
bc9519f9-25b3-442f-a658-bb7b96d6b298,934c19cf-d1e4-47fc-9860-39542d7bd56b,2022-12-14 12:32:00,7610d689-246f-467d-8d80-991c4eef401a,500,30,530
2ddc0646-0064-4e3f-b621-d9f865a051ed,4bf534e1-0071-43eb-b3ba-cf7da176d8a6,2022-12-14 18:43:00,7610d689-246f-467d-8d80-991c4eef401a,1200,72,1272
6fce3c64-44ae-400c-9106-83fed145a0b6,3ee8e86e-7163-4316-8dfa-15db0098b81e,2022-12-14 19:09:00,7610d689-246f-467d-8d80-991c4eef401a,1300,78,1378
86db1eba-f9f3-4455-b2b6-b2d0ce63cef7,b7bd8c57-4f91-4c51-88e7-382592e9eaf7,2022-12-14 10:40:00,7610d689-246f-467d-8d80-991c4eef401a,1300,78,1378
f7858002-928f-4724-b0b4-337358177720,d96563d3-24d4-40e6-8f4e-a6c5f015d864,2022-12-14 07:21:00,7610d689-246f-467d-8d80-991c4eef401a,600,36,636
f9cc66d2-d5ef-49ff-b3b5-8faa0046362d,44bffcdd-9613-46ca-9f05-b315de5e7ca6,2022-12-14 11:21:00,7610d689-246f-467d-8d80-991c4eef401a,500,30,530
519c5033-4565-475b-8788-6c920e900d6c,120ecf2b-f133-45a8-bab0-875cb5523df5,2022-12-14 15:19:00,7610d689-246f-467d-8d80-991c4eef401a,500,30,530
ba7f51f5-c3bc-4a07-ad39-0d0aad9e817d,78d44e16-ddfd-4429-91bc-9208c7fb2fc8,2022-12-14 07:59:00,7610d689-246f-467d-8d80-991c4eef401a,400,24,424
e7e06103-a420-46e7-9706-ce7ef41d3b39,83f67506-7c12-4107-864a-918a35b4fcf9,2022-12-14 07:47:00,7610d689-246f-467d-8d80-991c4eef401a,2200,131,2331
7bdadf72-3828-497f-92fd-492e1da5af9c,c366eb7d-81d8-46f9-89d9-9d09186d8503,2022-12-14 07:47:00,7610d689-246f-467d-8d80-991c4eef401a,400,24,424
33a0bb74-fffb-48af-98b3-6a8045050138,d7e9c90f-0dde-41f1-9be4-09fbe640e794,2022-12-14 08:19:00,7610d689-246f-467d-8d80-991c4eef401a,600,36,636
0e61f24a-895b-41f8-86c3-fab0c9f7d30c,47a4b1a8-781d-40e8-bbb2-f769c2c6b5ca,2022-12-14 07:48:00,7610d689-246f-467d-8d80-991c4eef401a,600,36,636
5d462e14-7054-4682-beae-1f34cf7a0ca4,935ecf18-cf34-41be-be72-c814ef6ded61,2022-12-14 11:33:00,7610d689-246f-467d-8d80-991c4eef401a,400,24,424
80aee7f1-df6d-457f-b026-883e3f4e3eb6,e4c63951-a231-404c-ad26-f4a492f3447f,2022-12-14 08:36:00,7610d689-246f-467d-8d80-991c4eef401a,600,36,636
451cc439-ec49-484c-b396-6436decd275a,0f9dcb09-ef47-45c8-9a5e-feff0a288bf2,2022-12-14 11:03:00,7610d689-246f-467d-8d80-991c4eef401a,1800,108,1908
